Case_Id,Timestamp,Activity,Blockname,Type,1st-param,2st-param,3st-param,4st-param
ExA_grandi_2019_TALENTcampJesi_g3, 0, Add blockname MoveSteering, MoveSteering, OnForSeconds, Seconds = 3, Speed = 100, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 0, Add blockname Sound, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 1, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 1, Change type OnForRotations, MoveSteering, OnForRotations, Rotations = 5, Speed = 100, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 2, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 2, Increase Rotations, MoveSteering, OnForRotations, Rotations = 6, Speed = 100, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 3, No action, MoveSteering, OnForRotations, Rotations = 6, Speed = 100, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 3, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 4, No action, MoveSteering, OnForRotations, Rotations = 6, Speed = 100, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 4, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 5, No action, MoveSteering, OnForRotations, Rotations = 6, Speed = 100, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 5, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 6, No action, MoveSteering, OnForRotations, Rotations = 6, Speed = 100, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 6, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 7, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 7, Decrease Rotations, MoveSteering, OnForRotations, Rotations = 5.8, Speed = 100, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 8, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 8, Increase Rotations, MoveSteering, OnForRotations, Rotations = 5.9, Speed = 100, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 9, No action, MoveSteering, OnForRotations, Rotations = 5.9, Speed = 100, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 9, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 10, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 10, Decrease Rotations, MoveSteering, OnForRotations, Rotations = 5.85, Speed = 100, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 11, No action, MoveSteering, OnForRotations, Rotations = 5.85, Speed = 100, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 11, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 12, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 12, Increase Rotations, MoveSteering, OnForRotations, Rotations = 5.89, Speed = 100, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 13, No action, MoveSteering, OnForRotations, Rotations = 5.89, Speed = 100, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 13, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 14, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 14, Increase Rotations, MoveSteering, OnForRotations, Rotations = 5.9, Speed = 100, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 15, No action, MoveSteering, OnForRotations, Rotations = 5.9, Speed = 100, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 15, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 16, No action, MoveSteering, OnForRotations, Rotations = 5.9, Speed = 100, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 16, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 17, No action, MoveSteering, OnForRotations, Rotations = 5.9, Speed = 100, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 17, Delete blockname Sound, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 18, Increase Rotations, MoveSteering, OnForRotations, Rotations = 5.95, Speed = 100, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 18, Add blockname Sound, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 19, No action, MoveSteering, OnForRotations, Rotations = 5.95, Speed = 100, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 19, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 20, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 20, Decrease Rotations, MoveSteering, OnForRotations, Rotations = 5.93, Speed = 100, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 21, No action, MoveSteering, OnForRotations, Rotations = 5.93, Speed = 100, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 21, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 22, No action, MoveSteering, OnForRotations, Rotations = 5.93, Speed = 100, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 22, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 23, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 23, Decrease Speed, MoveSteering, OnForRotations, Rotations = 5.93, Speed = 60, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 24, No action, MoveSteering, OnForRotations, Rotations = 5.93, Speed = 60, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 24, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 25, No action, MoveSteering, OnForRotations, Rotations = 5.93, Speed = 60, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 25, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 26, No action, MoveSteering, OnForRotations, Rotations = 5.93, Speed = 60, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 26, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 27, No action, MoveSteering, OnForRotations, Rotations = 5.93, Speed = 60, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 27, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 28, No action, MoveSteering, OnForRotations, Rotations = 5.93, Speed = 60, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 28, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 29, No action, MoveSteering, OnForRotations, Rotations = 5.93, Speed = 60, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 29, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 30, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 30, Decrease Rotations, MoveSteering, OnForRotations, Rotations = 5.927, Speed = 60, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 31, No action, MoveSteering, OnForRotations, Rotations = 5.927, Speed = 60, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 31, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 32, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 32, Increase Rotations, MoveSteering, OnForRotations, Rotations = 5.928, Speed = 60, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 33, No action, MoveSteering, OnForRotations, Rotations = 5.928, Speed = 60, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 33, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 33, Add blockname Start Loop Cycle, Start Loop Cycle, Index = 0,nan,nan,nan,nan
ExA_grandi_2019_TALENTcampJesi_g3, 33, Add blockname EndLoopCycle, EndLoopCycle, Unlimited Mode,nan,nan,nan,nan
ExA_grandi_2019_TALENTcampJesi_g3, 34, No action, MoveSteering, OnForRotations, Rotations = 5.928, Speed = 60, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 34, No action, Start Loop Cycle, Index = 0,nan,nan,nan,nan
ExA_grandi_2019_TALENTcampJesi_g3, 34, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 34, No action, EndLoopCycle, Unlimited Mode,nan,nan,nan,nan
ExA_grandi_2019_TALENTcampJesi_g3, 35, No action, MoveSteering, OnForRotations, Rotations = 5.928, Speed = 60, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 35, No action, Start Loop Cycle, Index = 0,nan,nan,nan,nan
ExA_grandi_2019_TALENTcampJesi_g3, 35, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 35, No action, EndLoopCycle, Unlimited Mode,nan,nan,nan,nan
ExA_grandi_2019_TALENTcampJesi_g3, 36, No action, MoveSteering, OnForRotations, Rotations = 5.928, Speed = 60, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 36, No action, Start Loop Cycle, Index = 0,nan,nan,nan,nan
ExA_grandi_2019_TALENTcampJesi_g3, 36, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 36, No action, EndLoopCycle, Unlimited Mode,nan,nan,nan,nan
ExA_grandi_2019_TALENTcampJesi_g3, 37, No action, MoveSteering, OnForRotations, Rotations = 5.928, Speed = 60, Steering = 0, MotorPorts = 123
ExA_grandi_2019_TALENTcampJesi_g3, 37, No action, Start Loop Cycle, Index = 0,nan,nan,nan,nan
ExA_grandi_2019_TALENTcampJesi_g3, 37, No action, Sound, Play File, FileName = Game over, Volume = 100, Play Type = 0,nan
ExA_grandi_2019_TALENTcampJesi_g3, 37, No action, EndLoopCycle, Unlimited Mode,nan,nan,nan,nan
