Case_Id,Timestamp,Activity,Blockname,Type,1st-param,2st-param,3st-param,4st-param
ExA_grandi_2018_LiceoGalilei1, 0, Change blockname to MoveSteering, MoveSteering, OnForRotations, Rotations = 1, Speed = 100, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 1, No action, MoveSteering, OnForRotations, Rotations = 1, Speed = 100, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 2, Increase  Rotations, MoveSteering, OnForRotations, Rotations = 5, Speed = 75, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 2, Decrease  Speed, MoveSteering, OnForRotations, Rotations = 5, Speed = 75, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 3, Change type OnForSeconds, MoveSteering, OnForSeconds, Seconds = 1, Speed = 75, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 4, Increase  Speed, MoveSteering, OnForSeconds, Seconds = 1, Speed = 100, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 5, Increase  Seconds, MoveSteering, OnForSeconds, Seconds = 3, Speed = 100, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 6, Increase  Seconds, MoveSteering, OnForSeconds, Seconds = 4, Speed = 25, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 6, Decrease  Speed, MoveSteering, OnForSeconds, Seconds = 4, Speed = 25, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 7, Decrease  Seconds, MoveSteering, OnForSeconds, Seconds = 2, Speed = 60, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 7, Increase  Speed, MoveSteering, OnForSeconds, Seconds = 2, Speed = 60, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 8, Increase  Seconds, MoveSteering, OnForSeconds, Seconds = 4, Speed = 60, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 9, No action, MoveSteering, OnForSeconds, Seconds = 4, Speed = 60, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 10, No action, MoveSteering, OnForSeconds, Seconds = 4, Speed = 60, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 11, No action, MoveSteering, OnForSeconds, Seconds = 4, Speed = 60, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 12, No action, MoveSteering, OnForSeconds, Seconds = 4, Speed = 60, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 13, No action, MoveSteering, OnForSeconds, Seconds = 4, Speed = 60, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 14, No action, MoveSteering, OnForSeconds, Seconds = 4, Speed = 60, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 15, No action, MoveSteering, OnForSeconds, Seconds = 4, Speed = 60, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 16, No action, MoveSteering, OnForSeconds, Seconds = 4, Speed = 60, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 17, No action, MoveSteering, OnForSeconds, Seconds = 4, Speed = 60, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 18, Decrease  Seconds, MoveSteering, OnForSeconds, Seconds = 3, Speed = 52, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 18, Decrease  Speed, MoveSteering, OnForSeconds, Seconds = 3, Speed = 52, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 19, Increase  Speed, MoveSteering, OnForSeconds, Seconds = 3, Speed = 53, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 20, Increase  Speed, MoveSteering, OnForSeconds, Seconds = 3, Speed = 58, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 21, Increase  Speed, MoveSteering, OnForSeconds, Seconds = 3, Speed = 60, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 22, No action, MoveSteering, OnForSeconds, Seconds = 3, Speed = 60, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 23, No action, MoveSteering, OnForSeconds, Seconds = 3, Speed = 60, Steering = 0, MotorPorts = 123
