Case_Id,Timestamp,Activity,Blockname,Type,1st-param,2st-param,3st-param,4st-param
ExA_piccoli_2018_ICAlighieri3, 0, START CASE_ID,,,,,,
ExA_piccoli_2018_ICAlighieri3, 0, Add blockname MoveSteering, MoveSteering, OnForSeconds, Seconds = 5, Speed = 50, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri3, 3, Decrease Seconds, MoveSteering, OnForSeconds, Seconds = 3.5, Speed = 50, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri3, 4, Increase Seconds, MoveSteering, OnForSeconds, Seconds = 4, Speed = 50, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri3, 5, Increase Seconds, MoveSteering, OnForSeconds, Seconds = 4.1, Speed = 50, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri3, 26, Increase Seconds, MoveSteering, OnForSeconds, Seconds = 4.15, Speed = 50, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri3, 28, END CASE_ID,,,,,,
ExA_piccoli_2018_ICAlighieri4, 0, START CASE_ID,,,,,,
ExA_piccoli_2018_ICAlighieri4, 0, Add blockname MoveSteering, MoveSteering, OnForSeconds, Seconds = 3.2, Speed = 50, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri4, 1, Increase Speed, MoveSteering, OnForSeconds, Seconds = 3.2, Speed = 75, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri4, 2, Decrease Speed, MoveSteering, OnForSeconds, Seconds = 3.2, Speed = 69, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri4, 4, Decrease Speed, MoveSteering, OnForSeconds, Seconds = 3.2, Speed = 66, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri4, 29, END CASE_ID,,,,,,
ExA_piccoli_2018_ICAlighieri6, 0, START CASE_ID,,,,,,
ExA_piccoli_2018_ICAlighieri6, 0, Add blockname MoveSteering, MoveSteering, OnForRotations, Rotations = 1, Speed = 50, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri6, 4, Change type OnForSeconds, MoveSteering, OnForSeconds, Seconds = 1, Speed = 50, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri6, 5, Change type OnForRotations, MoveSteering, OnForRotations, Rotations = 1, Speed = 50, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri6, 6, Change type OnForSeconds, MoveSteering, OnForSeconds, Seconds = 5, Speed = 50, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri6, 7, Decrease Seconds, MoveSteering, OnForSeconds, Seconds = 3, Speed = 50, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri6, 10, Increase Seconds, MoveSteering, OnForSeconds, Seconds = 4, Speed = 50, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri6, 11, Increase Seconds, MoveSteering, OnForSeconds, Seconds = 4.2, Speed = 50, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICAlighieri6, 21, END CASE_ID,,,,,,
ExA_piccoli_2018_ICCorinaldo1, 0, START CASE_ID,,,,,,
ExA_piccoli_2018_ICCorinaldo1, 0, Add blockname MoveSteering, MoveSteering, OnForRotations, Rotations = 4.75, Speed = 100, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICCorinaldo1, 12, Increase Rotations, MoveSteering, OnForRotations, Rotations = 5, Speed = 100, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICCorinaldo1, 13, Decrease Rotations, MoveSteering, OnForRotations, Rotations = 1, Speed = 100, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICCorinaldo1, 14, Increase Rotations, MoveSteering, OnForRotations, Rotations = 5.75, Speed = 100, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICCorinaldo1, 15, Increase Rotations, MoveSteering, OnForRotations, Rotations = 5.8, Speed = 100, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICCorinaldo1, 19, END CASE_ID,,,,,,
ExA_piccoli_2018_ICCorinaldo2, 0, START CASE_ID,,,,,,
ExA_piccoli_2018_ICCorinaldo2, 0, Add blockname MoveSteering, MoveSteering, OnForSeconds, Seconds = 2, Speed = 84, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICCorinaldo2, 2, Increase Speed, MoveSteering, OnForSeconds, Seconds = 2, Speed = 100, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICCorinaldo2, 3, Increase Seconds, MoveSteering, OnForSeconds, Seconds = 3, Speed = 100, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICCorinaldo2, 5, Decrease Speed, MoveSteering, OnForSeconds, Seconds = 3, Speed = 90, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICCorinaldo2, 6, Decrease Speed, MoveSteering, OnForSeconds, Seconds = 3, Speed = 85, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICCorinaldo2, 7, Decrease Seconds, MoveSteering, OnForSeconds, Seconds = 2.5, Speed = 85, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICCorinaldo2, 8, Increase Seconds, MoveSteering, OnForSeconds, Seconds = 2.7, Speed = 85, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICCorinaldo2, 9, Decrease Seconds, MoveSteering, OnForSeconds, Seconds = 2.6, Speed = 85, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICCorinaldo2, 10, Increase Speed, MoveSteering, OnForSeconds, Seconds = 2.6, Speed = 87, Steering = 0, MotorPorts = 123
ExA_piccoli_2018_ICCorinaldo2, 14, END CASE_ID,,,,,,
ExA_piccoli_2018_ICCorinaldo3, 0, START CASE_ID,,,,,,
