Case_Id,Timestamp,Activity,Blockname,Type,1st-param,2st-param,3st-param,4st-param
ExA_grandi_2018_LiceoGalilei1, 0, START CASE_ID,,,,,,
ExA_grandi_2018_LiceoGalilei1, 0, Add blockname MoveSteering, MoveSteering, OnForRotations, Rotations = 1, Speed = 100, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 2, Change Rotations, MoveSteering, OnForRotations, Rotations = 5, Speed = 75, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 2, Change Speed, MoveSteering, OnForRotations, Rotations = 5, Speed = 75, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 3, Change type OnForSeconds, MoveSteering, OnForSeconds, Seconds = 1, Speed = 75, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 4, Change Speed, MoveSteering, OnForSeconds, Seconds = 1, Speed = 100, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 5, Change Seconds, MoveSteering, OnForSeconds, Seconds = 3, Speed = 100, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 6, Change Seconds, MoveSteering, OnForSeconds, Seconds = 4, Speed = 25, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 6, Change Speed, MoveSteering, OnForSeconds, Seconds = 4, Speed = 25, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 7, Change Seconds, MoveSteering, OnForSeconds, Seconds = 2, Speed = 60, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 7, Change Speed, MoveSteering, OnForSeconds, Seconds = 2, Speed = 60, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 8, Change Seconds, MoveSteering, OnForSeconds, Seconds = 4, Speed = 60, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 18, Change Seconds, MoveSteering, OnForSeconds, Seconds = 3, Speed = 52, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 18, Change Speed, MoveSteering, OnForSeconds, Seconds = 3, Speed = 52, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 19, Change Speed, MoveSteering, OnForSeconds, Seconds = 3, Speed = 53, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 20, Change Speed, MoveSteering, OnForSeconds, Seconds = 3, Speed = 58, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 21, Change Speed, MoveSteering, OnForSeconds, Seconds = 3, Speed = 60, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 29, Change Seconds, MoveSteering, OnForSeconds, Seconds = 1.3, Speed = 100, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 29, Change Speed, MoveSteering, OnForSeconds, Seconds = 1.3, Speed = 100, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei1, 32, END CASE_ID,,,,,,
ExA_grandi_2018_LiceoGalilei4, 0, START CASE_ID,,,,,,
ExA_grandi_2018_LiceoGalilei4, 0, Add blockname Start Loop Cycle, Start Loop Cycle, Index = 0,nan,nan,nan,nan
ExA_grandi_2018_LiceoGalilei4, 0, Add blockname MoveSteering, MoveSteering, OnUnlimited, Speed = 100, Steering = 0, MotorPorts = 123,nan
ExA_grandi_2018_LiceoGalilei4, 0, Add blockname EndLoopCycle, EndLoopCycle, TimeCompare Mode, Time = 5,nan,nan,nan
ExA_grandi_2018_LiceoGalilei4, 1, Change Time, EndLoopCycle, TimeCompare Mode, Time = 3.6,nan,nan,nan
ExA_grandi_2018_LiceoGalilei4, 2, Change Time, EndLoopCycle, TimeCompare Mode, Time = 2.5,nan,nan,nan
ExA_grandi_2018_LiceoGalilei4, 4, Change Time, EndLoopCycle, TimeCompare Mode, Time = 2.9,nan,nan,nan
ExA_grandi_2018_LiceoGalilei4, 6, Change Time, EndLoopCycle, TimeCompare Mode, Time = 2.85,nan,nan,nan
ExA_grandi_2018_LiceoGalilei4, 20, END CASE_ID,,,,,,
ExA_grandi_2018_LiceoVoltaFellini3F, 0, START CASE_ID,,,,,,
ExA_grandi_2018_LiceoVoltaFellini3F, 0, Add blockname MoveSteering, MoveSteering, OnForRotations, Rotations = 1, Speed = 50, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoVoltaFellini3F, 13, Change Speed, MoveSteering, OnForRotations, Rotations = 1, Speed = 100, Steering = 0, MotorPorts = 123
