Case_Id,Timestamp,Activity,Blockname,Type,1st-param,2st-param,3st-param,4st-param
ExA_grandi_2018_LiceoGalilei2, 0, START CASE_ID,,,,,,
ExA_grandi_2018_LiceoGalilei2, 0, Add blockname MoveSteering, MoveSteering, OnForSeconds, Seconds = 0.45, Speed = 80, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei2, 5, Increase Seconds, MoveSteering, OnForSeconds, Seconds = 1.5, Speed = 80, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei2, 6, Increase Seconds, MoveSteering, OnForSeconds, Seconds = 3, Speed = 80, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei2, 7, Decrease Seconds, MoveSteering, OnForSeconds, Seconds = 2.8, Speed = 80, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei2, 17, END CASE_ID,,,,,,
ExA_grandi_2018_LiceoGalilei3, 0, START CASE_ID,,,,,,
ExA_grandi_2018_LiceoGalilei3, 0, Add blockname Brick Light, Brick Light, On, Colour = 2, Pulse = 1,nan,nan
ExA_grandi_2018_LiceoGalilei3, 0, Add blockname MoveSteering, MoveSteering, OnForSeconds, Seconds = 6, Speed = 32, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei3, 1, Increase Seconds, MoveSteering, OnForSeconds, Seconds = 6.5, Speed = 32, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei3, 6, END CASE_ID,,,,,,
ExA_grandi_2018_LiceoGalilei6, 0, START CASE_ID,,,,,,
ExA_grandi_2018_LiceoGalilei6, 0, Add blockname Start Loop Cycle, Start Loop Cycle, Index = 0,nan,nan,nan,nan
ExA_grandi_2018_LiceoGalilei6, 0, Add blockname MoveSteering, MoveSteering, OnForRotations, Rotations = 5.67, Speed = 100, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei6, 0, Add blockname LoopInterrupt, LoopInterrupt, Number = 1,nan,nan,nan,nan
ExA_grandi_2018_LiceoGalilei6, 0, Add blockname EndLoopCycle, EndLoopCycle, Unlimited Mode,nan,nan,nan,nan
ExA_grandi_2018_LiceoGalilei6, 1, END CASE_ID,,,,,,
ExA_grandi_2018_LiceoGalilei7, 0, START CASE_ID,,,,,,
ExA_grandi_2018_LiceoGalilei7, 0, Add blockname MoveSteering, MoveSteering, OnForSeconds, Seconds = 5, Speed = 75, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei7, 1, Decrease Speed, MoveSteering, OnForSeconds, Seconds = 5, Speed = 17, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei7, 2, Increase Seconds, MoveSteering, OnForSeconds, Seconds = 7, Speed = 30, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei7, 2, Increase Speed, MoveSteering, OnForSeconds, Seconds = 7, Speed = 30, Steering = 0, MotorPorts = 123
ExA_grandi_2018_LiceoGalilei7, 4, Decrease Seconds, MoveSteering, OnForSeconds, Seconds = 4, Speed = 30, Steering = 0, MotorPorts = 123
