Case_Id,Timestamp,Activity,Blockname,Type,1st-param,2st-param,3st-param,4st-param
ExB/grandi/2019_IC_Lotto_Jesi_sec_G1, 0, START CASE_ID,,,,,,
ExB/grandi/2019_IC_Lotto_Jesi_sec_G1, 0, Add blockname Ultrasonic Sensor, Ultrasonic Sensor, Distance CM = 184.9, Port = 104,nan,nan,nan
ExB/grandi/2019_IC_Lotto_Jesi_sec_G1, 0, Add blockname Ultrasonic Sensor Compare CM, Ultrasonic Sensor Compare CM, Comparison = 0, Threshold = 25, Port = 104,nan,nan
ExB/grandi/2019_IC_Lotto_Jesi_sec_G1, 1, Decrease Distance CM, Ultrasonic Sensor, Distance CM = 42.9, Port = 104,nan,nan,nan
ExB/grandi/2019_IC_Lotto_Jesi_sec_G1, 3, Decrease Distance CM, Ultrasonic Sensor, Distance CM = 39.7, Port = 104,nan,nan,nan
ExB/grandi/2019_IC_Lotto_Jesi_sec_G1, 4, Decrease Distance CM, Ultrasonic Sensor, Distance CM = 7.7, Port = 104,nan,nan,nan
ExB/grandi/2019_IC_Lotto_Jesi_sec_G1, 5, Delete blockname Ultrasonic Sensor, Ultrasonic Sensor, Distance CM = 7.7, Port = 104,nan,nan,nan
ExB/grandi/2019_IC_Lotto_Jesi_sec_G1, 5, Delete blockname Ultrasonic Sensor Compare CM, Ultrasonic Sensor Compare CM, Comparison = 0, Threshold = 25, Port = 104,nan,nan
ExB/grandi/2019_IC_Lotto_Jesi_sec_G1, 6, Add blockname Ultrasonic Sensor, Ultrasonic Sensor, Distance CM = 226.1, Port = 104,nan,nan,nan
ExB/grandi/2019_IC_Lotto_Jesi_sec_G1, 6, Add blockname Ultrasonic Sensor Compare CM, Ultrasonic Sensor Compare CM, Comparison = 0, Threshold = 25, Port = 104,nan,nan
ExB/grandi/2019_IC_Lotto_Jesi_sec_G1, 7, Increase Comparison, Ultrasonic Sensor Compare CM, Comparison = 5, Threshold = 25, Port = 104,nan,nan
ExB/grandi/2019_IC_Lotto_Jesi_sec_G1, 7, Decrease Distance CM, Ultrasonic Sensor, Distance CM = 34.5, Port = 104,nan,nan,nan
ExB/grandi/2019_IC_Lotto_Jesi_sec_G1, 7, Add blockname MoveSteering, MoveSteering, OnForRotations, Rotations = 1.425, Speed = 100, Steering = 0, MotorPorts = 123
ExB/grandi/2019_IC_Lotto_Jesi_sec_G1, 8, Delete blockname MoveSteering, MoveSteering, OnForRotations, Rotations = 1.425, Speed = 100, Steering = 0, MotorPorts = 123
ExB/grandi/2019_IC_Lotto_Jesi_sec_G1, 9, Decrease Distance CM, Ultrasonic Sensor, Distance CM = 57.4, Port = 104,nan,nan,nan
ExB/grandi/2019_IC_Lotto_Jesi_sec_G1, 9, Add blockname MoveSteering, MoveSteering, OnForRotations, Rotations = 1.425, Speed = 100, Steering = 0, MotorPorts = 123
ExB/grandi/2019_IC_Lotto_Jesi_sec_G1, 11, Increase Rotations, MoveSteering, OnForRotations, Rotations = 5.7, Speed = 100, Steering = 0, MotorPorts = 123
ExB/grandi/2019_IC_Lotto_Jesi_sec_G1, 11, Decrease Distance CM, Ultrasonic Sensor, Distance CM = 20.6, Port = 104,nan,nan,nan
ExB/grandi/2019_IC_Lotto_Jesi_sec_G1, 12, Increase Threshold, Ultrasonic Sensor Compare CM, Comparison = 5, Threshold = 125, Port = 104,nan,nan
ExB/grandi/2019_IC_Lotto_Jesi_sec_G1, 13, Decrease Distance CM, Ultrasonic Sensor, Distance CM = 94.7, Port = 104,nan,nan,nan
ExB/grandi/2019_IC_Lotto_Jesi_sec_G1, 13, Decrease Threshold, Ultrasonic Sensor Compare CM, Comparison = 5, Threshold = 25, Port = 104,nan,nan
ExB/grandi/2019_IC_Lotto_Jesi_sec_G1, 14, Decrease Distance CM, Ultrasonic Sensor, Distance CM = 87.3, Port = 104,nan,nan,nan
ExB/grandi/2019_IC_Lotto_Jesi_sec_G1, 15, Decrease Distance CM, Ultrasonic Sensor, Distance CM = 78, Port = 104,nan,nan,nan
ExB/grandi/2019_IC_Lotto_Jesi_sec_G1, 16, Decrease Distance CM, Ultrasonic Sensor, Distance CM = 7.7, Port = 104,nan,nan,nan
ExB/grandi/2019_IC_Lotto_Jesi_sec_G1, 17, Change type OnUnlimited, MoveSteering, OnUnlimited, Speed = 50, Steering = 0, MotorPorts = 123,nan
ExB/grandi/2019_IC_Lotto_Jesi_sec_G1, 17, Add blockname MoveSteering, MoveSteering, Off, MotorPort = 123,nan,nan,nan
ExB/grandi/2019_IC_Lotto_Jesi_sec_G1, 18, Decrease Distance CM, Ultrasonic Sensor, Distance CM = 183.5, Port = 104,nan,nan,nan
ExB/grandi/2019_IC_Lotto_Jesi_sec_G1, 20, Decrease Distance CM, Ultrasonic Sensor, Distance CM = 127.3, Port = 104,nan,nan,nan
ExB/grandi/2019_IC_Lotto_Jesi_sec_G1, 21, Increase Threshold, Ultrasonic Sensor Compare CM, Comparison = 5, Threshold = 32, Port = 104,nan,nan
ExB/grandi/2019_IC_Lotto_Jesi_sec_G1, 22, Decrease Threshold, Ultrasonic Sensor Compare CM, Comparison = 5, Threshold = 30, Port = 104,nan,nan
ExB/grandi/2019_IC_Lotto_Jesi_sec_G1, 22, Decrease Distance CM, Ultrasonic Sensor, Distance CM = 24.9, Port = 104,nan,nan,nan
ExB/grandi/2019_IC_Lotto_Jesi_sec_G1, 23, END CASE_ID,,,,,,
