Case_Id,Timestamp,Activity,Blockname,Type,1st-param,2st-param,3st-param,4st-param
ExB_grandi_2018_LiceoGalilei2, 0, START CASE_ID,,,,,,
ExB_grandi_2018_LiceoGalilei2, 0, Add blockname Ultrasonic Sensor, Ultrasonic Sensor, Distance CM = 32.6, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 0, Add blockname Compare, Compare, GreaterThan, a = 32.6, b = 50, Result = 0,nan
ExB_grandi_2018_LiceoGalilei2, 0, Add blockname CaseSelector, CaseSelector, Boolean,nan,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 0, Add blockname CaseSelector, CaseSelector, Boolean,nan,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 0, Add blockname Sound, Sound, Play File, FileName = , Volume = 100, Play Type = 0,nan
ExB_grandi_2018_LiceoGalilei2, 2, Change Distance CM, Ultrasonic Sensor, Distance CM = 13.9, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 2, Change a, Compare, GreaterThan, a = 13.9, b = 25, Result = 0,nan
ExB_grandi_2018_LiceoGalilei2, 2, Change b, Compare, GreaterThan, a = 13.9, b = 25, Result = 0,nan
ExB_grandi_2018_LiceoGalilei2, 2, Delete blockname CaseSelector, CaseSelector, Boolean,nan,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 2, Delete blockname Sound, Sound, Play File, FileName = , Volume = 100, Play Type = 0,nan
ExB_grandi_2018_LiceoGalilei2, 3, Change Distance CM, Ultrasonic Sensor, Distance CM = 36.2, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 3, Change a, Compare, GreaterThan, a = 36.2, b = 25, Result = 1,nan
ExB_grandi_2018_LiceoGalilei2, 3, Change Result, Compare, GreaterThan, a = 36.2, b = 25, Result = 1,nan
ExB_grandi_2018_LiceoGalilei2, 4, Change Distance CM, Ultrasonic Sensor, Distance CM = 64.4, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 4, Change a, Compare, GreaterThan, a = 64.4, b = 25, Result = 1,nan
ExB_grandi_2018_LiceoGalilei2, 4, Add blockname Sound, Sound, Play File, FileName = , Volume = 100, Play Type = 0,nan
ExB_grandi_2018_LiceoGalilei2, 5, Change a, Compare, GreaterThan, a = 66.8, b = 25, Result = 1,nan
ExB_grandi_2018_LiceoGalilei2, 6, Change FileName, Sound, Play File, FileName = Cat purr, Volume = 100, Play Type = 0,nan
ExB_grandi_2018_LiceoGalilei2, 6, Add blockname CaseSelector, CaseSelector, Boolean,nan,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 7, Change Distance CM, Ultrasonic Sensor, Distance CM = 32.6, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 7, Change type EqualTo, Compare, EqualTo, a = 32.6, b = 25, Result = 0,nan
ExB_grandi_2018_LiceoGalilei2, 7, Change blockname to MoveSteering, MoveSteering, Off, MotorPort = 123,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 7, Delete blockname CaseSelector, CaseSelector, Boolean,nan,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 8, Change Distance CM, Ultrasonic Sensor, Distance CM = 255, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 8, Change a, Compare, EqualTo, a = 255, b = 25, Result = 0,nan
ExB_grandi_2018_LiceoGalilei2, 10, Change Distance CM, Ultrasonic Sensor, Distance CM = 42.7, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 10, Change a, Compare, EqualTo, a = 42.7, b = 25, Result = 0,nan
ExB_grandi_2018_LiceoGalilei2, 11, Change Distance CM, Ultrasonic Sensor, Distance CM = 56.1, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 11, Change type LessThanEqualTo, Compare, LessThanEqualTo, a = 56.1, b = 25, Result = 0,nan
ExB_grandi_2018_LiceoGalilei2, 12, Change Distance CM, Ultrasonic Sensor, Distance CM = 130.5, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 12, Change a, Compare, LessThanEqualTo, a = 130.5, b = 25, Result = 0,nan
ExB_grandi_2018_LiceoGalilei2, 12, Add blockname Ultrasonic Sensor, Ultrasonic Sensor, Distance CM = 130.5, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 12, Add blockname Ultrasonic Sensor Compare CM, Ultrasonic Sensor Compare CM, Comparison = 4, Threshold = 25, Port = 104,nan,nan
ExB_grandi_2018_LiceoGalilei2, 13, Change Distance CM, Ultrasonic Sensor, Distance CM = 12.6, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 13, Change Distance CM, Ultrasonic Sensor, Distance CM = 12.6, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 13, Change type GreaterThan, Compare, GreaterThan, a = 12.6, b = 25, Result = 0,nan
ExB_grandi_2018_LiceoGalilei2, 14, Change a, Compare, GreaterThan, a = 13, b = 25, Result = 0,nan
ExB_grandi_2018_LiceoGalilei2, 15, Change Distance CM, Ultrasonic Sensor, Distance CM = 32.6, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 15, Change Distance CM, Ultrasonic Sensor, Distance CM = 32.6, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 15, Change a, Compare, GreaterThan, a = 32.6, b = 25, Result = 1,nan
ExB_grandi_2018_LiceoGalilei2, 15, Change Result, Compare, GreaterThan, a = 32.6, b = 25, Result = 1,nan
ExB_grandi_2018_LiceoGalilei2, 15, Change type OnUnlimited, MoveSteering, OnUnlimited, Speed = 75, Steering = 0, MotorPorts = 123,nan
ExB_grandi_2018_LiceoGalilei2, 16, Change Distance CM, Ultrasonic Sensor, Distance CM = 39.9, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 16, Change a, Compare, GreaterThan, a = 39.9, b = 25, Result = 1,nan
ExB_grandi_2018_LiceoGalilei2, 16, Change Distance CM, Ultrasonic Sensor, Distance CM = 63.5, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 17, Change Distance CM, Ultrasonic Sensor, Distance CM = 57.3, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 17, Change Distance CM, Ultrasonic Sensor, Distance CM = 57.3, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 17, Change a, Compare, GreaterThan, a = 57.3, b = 25, Result = 1,nan
ExB_grandi_2018_LiceoGalilei2, 17, Add blockname CaseSelector, CaseSelector, Boolean,nan,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 17, Add blockname MoveSteering, MoveSteering, Off, MotorPort = 123,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 18, Change Distance CM, Ultrasonic Sensor, Distance CM = 143, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 18, Change Distance CM, Ultrasonic Sensor, Distance CM = 142.9, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 18, Change a, Compare, GreaterThan, a = 143, b = 25, Result = 1,nan
ExB_grandi_2018_LiceoGalilei2, 19, Change Distance CM, Ultrasonic Sensor, Distance CM = 125.5, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 19, Change a, Compare, GreaterThan, a = 125.5, b = 25, Result = 1,nan
