Case_Id,Timestamp,Activity,Blockname,Type,1st-param,2st-param,3st-param,4st-param
ExB_grandi_2018_LiceoGalilei2, 0, START CASE_ID,,,,,,
ExB_grandi_2018_LiceoGalilei2, 0, Add blockname Start Loop Cycle, Start Loop Cycle, Index = 0,nan,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 0, Add blockname Ultrasonic Sensor, Ultrasonic Sensor, Distance CM = 32.6, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 0, Add blockname Compare, Compare, GreaterThan, a = 32.6, b = 50, Result = 0,nan
ExB_grandi_2018_LiceoGalilei2, 0, Add blockname CaseSelector, CaseSelector, Boolean, Condition = 0,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 0, Add blockname EndLoopCycle, EndLoopCycle, Unlimited Mode,nan,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 0, Add blockname CaseSelector, CaseSelector, Boolean, Condition = 1,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 0, Add blockname Sound, Sound, Play File, FileName = , Volume = 100, Play Type = 0,nan
ExB_grandi_2018_LiceoGalilei2, 2, Decrease Distance CM, Ultrasonic Sensor, Distance CM = 13.9, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 2, Decrease a, Compare, GreaterThan, a = 13.9, b = 25, Result = 0,nan
ExB_grandi_2018_LiceoGalilei2, 2, Decrease b, Compare, GreaterThan, a = 13.9, b = 25, Result = 0,nan
ExB_grandi_2018_LiceoGalilei2, 2, Delete blockname CaseSelector, CaseSelector, Boolean, Condition = 1,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 2, Delete blockname Sound, Sound, Play File, FileName = , Volume = 100, Play Type = 0,nan
ExB_grandi_2018_LiceoGalilei2, 3, Increase Distance CM, Ultrasonic Sensor, Distance CM = 36.2, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 3, Increase a, Compare, GreaterThan, a = 36.2, b = 25, Result = 1,nan
ExB_grandi_2018_LiceoGalilei2, 3, Increase Result, Compare, GreaterThan, a = 36.2, b = 25, Result = 1,nan
ExB_grandi_2018_LiceoGalilei2, 4, Increase Condition, CaseSelector, Boolean, Condition = 1,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 4, Increase Distance CM, Ultrasonic Sensor, Distance CM = 64.4, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 4, Increase a, Compare, GreaterThan, a = 64.4, b = 25, Result = 1,nan
ExB_grandi_2018_LiceoGalilei2, 4, Add blockname Sound, Sound, Play File, FileName = , Volume = 100, Play Type = 0,nan
ExB_grandi_2018_LiceoGalilei2, 5, Increase Distance CM, Ultrasonic Sensor, Distance CM = 66.8, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 5, Increase a, Compare, GreaterThan, a = 66.8, b = 25, Result = 1,nan
ExB_grandi_2018_LiceoGalilei2, 6, Change FileName, Sound, Play File, FileName = Cat purr, Volume = 100, Play Type = 0,nan
ExB_grandi_2018_LiceoGalilei2, 6, Add blockname CaseSelector, CaseSelector, Boolean, Condition = 0,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 7, Decrease Distance CM, Ultrasonic Sensor, Distance CM = 32.6, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 7, Change type EqualTo, Compare, EqualTo, a = 32.6, b = 25, Result = 0,nan
ExB_grandi_2018_LiceoGalilei2, 7, Change blockname to MoveSteering, MoveSteering, Off, MotorPort = 123,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 7, Delete blockname Sound, Sound, Play File, FileName = Cat purr, Volume = 100, Play Type = 0,nan
ExB_grandi_2018_LiceoGalilei2, 8, Increase Distance CM, Ultrasonic Sensor, Distance CM = 255, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 8, Increase a, Compare, EqualTo, a = 255, b = 25, Result = 0,nan
ExB_grandi_2018_LiceoGalilei2, 10, Decrease Distance CM, Ultrasonic Sensor, Distance CM = 42.7, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 10, Decrease a, Compare, EqualTo, a = 42.7, b = 25, Result = 0,nan
ExB_grandi_2018_LiceoGalilei2, 11, Increase Distance CM, Ultrasonic Sensor, Distance CM = 56.1, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 11, Change type LessThanEqualTo, Compare, LessThanEqualTo, a = 56.1, b = 25, Result = 0,nan
ExB_grandi_2018_LiceoGalilei2, 12, Increase Distance CM, Ultrasonic Sensor, Distance CM = 130.5, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 12, Increase a, Compare, LessThanEqualTo, a = 130.5, b = 25, Result = 0,nan
ExB_grandi_2018_LiceoGalilei2, 12, Change blockname to Ultrasonic Sensor, Ultrasonic Sensor, Distance CM = 130.5, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 12, Add blockname Ultrasonic Sensor Compare CM, Ultrasonic Sensor Compare CM, Comparison = 4, Threshold = 25, Port = 104, Condition = 0,nan
ExB_grandi_2018_LiceoGalilei2, 13, Increase Condition, Ultrasonic Sensor Compare CM, Comparison = 4, Threshold = 25, Port = 104, Condition = 1,nan
ExB_grandi_2018_LiceoGalilei2, 13, Decrease Distance CM, Ultrasonic Sensor, Distance CM = 12.6, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 13, Decrease Distance CM, Ultrasonic Sensor, Distance CM = 12.6, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 13, Change type GreaterThan, Compare, GreaterThan, a = 12.6, b = 25, Result = 0,nan
ExB_grandi_2018_LiceoGalilei2, 14, Increase Distance CM, Ultrasonic Sensor, Distance CM = 13, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 14, Increase Distance CM, Ultrasonic Sensor, Distance CM = 13, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 14, Increase a, Compare, GreaterThan, a = 13, b = 25, Result = 0,nan
ExB_grandi_2018_LiceoGalilei2, 15, Decrease Condition, Ultrasonic Sensor Compare CM, Comparison = 4, Threshold = 25, Port = 104, Condition = 0,nan
ExB_grandi_2018_LiceoGalilei2, 15, Increase Condition, CaseSelector, Boolean, Condition = 1,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 15, Increase Distance CM, Ultrasonic Sensor, Distance CM = 32.6, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoGalilei2, 15, Increase Distance CM, Ultrasonic Sensor, Distance CM = 32.6, Port = 104,nan,nan,nan
