Case_Id,Timestamp,Activity,Blockname,Type,1st-param,2st-param,3st-param,4st-param
ExB_grandi_2018_LiceoVoltaFellini11G, 0, START CASE_ID,,,,,,
ExB_grandi_2018_LiceoVoltaFellini11G, 0, Add blockname Ultrasonic Sensor, Ultrasonic Sensor, Distance CM = 43.7, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 0, Add blockname Ultrasonic Sensor Compare CM, Ultrasonic Sensor Compare CM, Comparison = 4, Threshold = 3, Port = 104,nan,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 0, Add blockname MoveSteering, MoveSteering, OnUnlimited, Speed = 75, Steering = 0, MotorPorts = 123,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 0, Add blockname Ultrasonic Sensor, Ultrasonic Sensor, Distance CM = 43.7, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 2, Increase Threshold, Ultrasonic Sensor Compare CM, Comparison = 4, Threshold = 4, Port = 104,nan,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 2, Add blockname Ultrasonic Sensor Compare CM, Ultrasonic Sensor Compare CM, Comparison = 4, Threshold = 4, Port = 104,nan,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 2, Add blockname LoopInterrupt, LoopInterrupt, Number = 1,nan,nan,nan,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 3, Decrease Distance CM, Ultrasonic Sensor, Distance CM = 32.6, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 3, Decrease Distance CM, Ultrasonic Sensor, Distance CM = 32.1, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 3, Change blockname to Ultrasonic Sensor Compare CM, Ultrasonic Sensor Compare CM, Comparison = 4, Threshold = 4, Port = 104,nan,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 4, Change blockname to LoopInterrupt, LoopInterrupt, Number = 1,nan,nan,nan,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 5, Change blockname to Ultrasonic Sensor Compare CM, Ultrasonic Sensor Compare CM, Comparison = 4, Threshold = 4, Port = 104,nan,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 6, Decrease Speed, MoveSteering, OnUnlimited, Speed = 58, Steering = 0, MotorPorts = 123,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 7, Increase Speed, MoveSteering, OnUnlimited, Speed = 78, Steering = 0, MotorPorts = 123,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 7, Change blockname to Touch Sensor Compare, Touch Sensor Compare, State = 1, Port = 101,nan,nan,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 7, Change blockname to Touch Sensor Compare, Touch Sensor Compare, State = 1, Port = 101,nan,nan,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 7, Change blockname to MoveSteering, MoveSteering, OnUnlimited, Speed = 78, Steering = 0, MotorPorts = 123,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 8, Increase Distance CM, Ultrasonic Sensor, Distance CM = 133.6, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 9, Increase Comparison, Ultrasonic Sensor Compare CM, Comparison = 5, Threshold = 5, Port = 104,nan,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 9, Increase Threshold, Ultrasonic Sensor Compare CM, Comparison = 5, Threshold = 5, Port = 104,nan,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 9, Increase Distance CM, Ultrasonic Sensor, Distance CM = 255, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 9, Change blockname to Ultrasonic Sensor, Ultrasonic Sensor, Distance CM = 255, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 9, Change blockname to Ultrasonic Sensor Compare CM, Ultrasonic Sensor Compare CM, Comparison = 5, Threshold = 5, Port = 104,nan,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 9, Change blockname to LoopInterrupt, LoopInterrupt, Number = 1,nan,nan,nan,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 10, Decrease Distance CM, Ultrasonic Sensor, Distance CM = 36.1, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 10, Decrease Distance CM, Ultrasonic Sensor, Distance CM = 36.1, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 10, Decrease Comparison, Ultrasonic Sensor Compare CM, Comparison = 4, Threshold = 25, Port = 104,nan,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 10, Increase Threshold, Ultrasonic Sensor Compare CM, Comparison = 4, Threshold = 25, Port = 104,nan,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 10, Decrease Comparison, Ultrasonic Sensor Compare CM, Comparison = 4, Threshold = 25, Port = 104,nan,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 10, Increase Threshold, Ultrasonic Sensor Compare CM, Comparison = 4, Threshold = 25, Port = 104,nan,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 11, Decrease Speed, MoveSteering, OnUnlimited, Speed = 75, Steering = 0, MotorPorts = 123,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 11, Increase Distance CM, Ultrasonic Sensor, Distance CM = 255, Port = 104,nan,nan,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 11, Change blockname to MoveSteering, MoveSteering, Off, MotorPort = 123,nan,nan,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 11, Delete blockname Ultrasonic Sensor Compare CM, Ultrasonic Sensor Compare CM, Comparison = 4, Threshold = 25, Port = 104,nan,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 11, Delete blockname LoopInterrupt, LoopInterrupt, Number = 1,nan,nan,nan,nan
ExB_grandi_2018_LiceoVoltaFellini11G, 12, Decrease Distance CM, Ultrasonic Sensor, Distance CM = 129.9, Port = 104,nan,nan,nan
