ID,Y,Errore
2019_TALENTcamp_Osimo_g2,0,39
2019_IC_NovelliNatalucci_G9,0,24
2019_IC_Badaloni_Recanati_G2,1,2.5
2019_IC_Lotto_Jesi_sec_g4,1,0.5
2018_ICMontecassiano2,1,3.7
2019_ICLargoCocconi4E_G5,1,2
2018_LiceoVoltaFellini4A,1,1.5
2019_IC_Alighieri_G3,1,0.5
2018_ICNovelliNatalucci3,0,21
2019_ICLargoCocconi4E_G4,0,15
2019_ICLucaDellaRobbia_G3,0,55
2018_LiceoVoltaFellini4F,1,2
2019_IC_Alighieri_G1,0,4.5
2019_IC_NovelliNatalucci_G11,0,50
2018_LiceoVoltaFellini1A,1,3
2019_IC_FalconaraCentro_g3,1,1
2018_LiceoVoltaFellini7A,0,4
2018_ICCorinaldo7,1,0.5
2019_ICSerraSanQuirico3,1,1.5
2019_IC_Leopardi_Gualdo_g6,1,3.5
2019_TALENTcampJesi_g1,1,0
2019_IC_Lotto_Jesi_prim_G1,0,21
2019_IC_Leopardi_Gualdo_g3,1,0.5
2018_ICCorinaldo6,1,2
2018_LiceoVoltaFellini5F,0,6
2019_IC_Lotto_Jesi_prim_G3,0,20
2019_IC_Alighieri_G6,0,19
2019_ICLargoCocconi4F_G1,1,1
2019_ICLargoCocconi4F_G5,1,0.3
2019_ICLucaDellaRobbia_G4,0,18
2018_ICAlighieri5,0,8
2018_ICAlighieri3,1,1.3
2019_IC_Leopardi_Gualdo_g4,1,2.5
2019_TALENTcampJesi_g2,1,0
2019_TALENTcamp_Osimo_g1,1,3
2019_IC_Lotto_Jesi_sec_g6,1,0
2019_IC_Leopardi_Gualdo_g5,1,0.5
2018_LiceoGalilei7,1,0.3
2018_LiceoVoltaFellini9G,1,2
2019_IC_Alighieri_G2,1,3.5
2019_ICLargoCocconi5C_G3,1,1
2018_ICNovelliNatalucci6,0,160
2018_LiceoVoltaFellini5A,1,1.5
2018_LiceoVoltaFellini2A,1,0
2019_ICLargoCocconi5C_G5,1,1.5
2018_LiceoVoltaFellini2F,1,2
2018_LiceoVoltaFellini3F,0,48
2019_ICLucaDellaRobbia_G5,1,1
2018_ICNovelliNatalucci4,0,31
2019_TALENTcampJesi_g3,1,0.5
2018_LiceoVoltaFellini6F,1,1.5
2019_ICSerraSanQuirico5,1,1.1
2019_ICLargoCocconi4E_G2,1,2
2019_ICLargoCocconi4E_G6,0,150
2018_LiceoVoltaFellini8G,1,2
2018_LiceoVoltaFellini11G,1,3
2018_LiceoVoltaFellini10G,1,3
2019_IC_NovelliNatalucci_G12,0,4
2018_LiceoGalilei2,1,4.67
2019_IC_Badaloni_Recanati_G6,1,2
2019_IC_Badaloni_Recanati_G1,0,22
2019_IC_Badaloni_Recanati_G4,1,0.5
2019_IC_Badaloni_Recanati_G3,0,4
2018_LiceoVoltaFellini3G,1,1.5
2019_IC_Lotto_Jesi_prim_G5,1,2.5
2019_IC_NovelliNatalucci_G10,0,6
2019_ICSerraSanQuirico4,1,2.9
2019_IC_Lotto_Jesi_sec_g1,1,0.5
2019_ICLargoCocconi4F_G2,1,0.3
2018_ICAlighieri4,1,1.9
2019_ICLargoCocconi4F_G4,1,0.3
2018_LiceoGalilei6,1,0.2
2019_ICLargoCocconi5C_G1,1,1
2019_IC_FalconaraCentro_g7,1,0
2019_IC_FalconaraCentro_g2,1,1
2018_LiceoGalilei4,0,10
2019_IC_Lotto_Jesi_sec_g2,1,0
2018_LiceoVoltaFellini6A,0,14
2019_IC_NovelliNatalucci_G13,0,15
2018_LiceoVoltaFellini12G,1,1.5
2019_ICSerraSanQuirico2,1,2
2018_LiceoGalilei1,0,54
2018_ICNovelliNatalucci1,1,0.8
2019_ICLargoCocconi4F_G3,1,3.5
2018_LiceoVoltaFellini7F,1,2
2018_ICAlighieri6,1,2.7
2018_ICCorinaldo1,1,1
2019_ICLargoCocconi5C_G6,1,0.5
2019_IC_Alighieri_G4,0,54
2019_IC_Lotto_Jesi_prim_G6,1,3
2019_IC_FalconaraCentro_g4,0,4
2019_ICLucaDellaRobbia_G2,0,5
2019_IC_Leopardi_Gualdo_g2,0,76
2019_IC_Lotto_Jesi_sec_g3,1,0.5
2019_IC_Badaloni_Recanati_G5,0,100
2018_ICNovelliNatalucci2,0,31
2019_IC_Alighieri_G5,0,22
2018_ICAlighieri1,0,6
2019_IC_Lotto_Jesi_sec_g5,1,0
2019_TALENTcamp_Osimo_g3,1,0.6
2018_ICCorinaldo4,1,0.5
2018_LiceoVoltaFellini8A,1,2
2018_LiceoVoltaFellini1F,1,0.5
2018_ICMontecassiano6,0,396
2019_ICLargoCocconi5C_G2,1,1
2019_IC_NovelliNatalucci_G5,1,1
2018_ICNovelliNatalucci5,0,31
2019_IC_Leopardi_Gualdo_g1,1,3
2019_ICLargoCocconi4E_G3,0,5
2019_IC_FalconaraCentro_g8,1,0
2019_ICLargoCocconi5C_G4,1,2
2019_ICSerraSanQuirico6,0,4.4
2019_IC_NovelliNatalucci_G6,1,1
2019_ICLargoCocconi4E_G1,0,10
2019_IC_Lotto_Jesi_prim_G2,0,4
2019_IC_FalconaraCentro_g1,1,0.5
2018_ICMontecassiano1,1,1
2019_ICSerraSanQuirico1,1,0.2
2018_ICMontecassiano5,0,26
2018_LiceoGalilei3,1,4
2019_IC_FalconaraCentro_g5,1,0
2018_ICCorinaldo2,1,3
2018_ICCorinaldo3,1,1
